timestamp;black;green;red
1394;480;1000;9
1395;480;1020;9
1396;480;1040;10
1397;480;1060;25
1398;480;1080;26
1399;480;1100;10
1400;500;0;3
1401;500;20;3
1402;500;40;4
1403;500;60;6
1404;500;80;5
1405;500;100;6
1406;500;120;6
1407;500;140;182
1408;500;160;182
1409;500;180;182
1410;500;200;183
1411;500;220;182
1412;500;240;182
1413;500;260;183
1414;500;280;183
1415;500;300;184
1416;500;320;184
1417;500;340;184
1418;500;360;216
1419;500;380;215
1420;500;400;217
1421;500;420;217
1422;500;440;218
1423;500;460;219
1424;500;480;220
1425;500;500;368
1426;500;520;368
1427;500;540;369
1428;500;560;368
1429;500;580;368
1430;500;600;368
1431;500;620;370
1432;500;640;369
1433;500;660;369
1434;500;680;369
1435;500;700;218
1436;500;720;217
1437;500;740;217
1438;500;760;218
1439;500;780;218
1440;500;800;188
1441;500;820;188
1442;500;840;187
1443;500;860;189
1444;500;880;186
1445;500;900;186
1446;500;920;187
1447;500;940;186
1448;500;960;186
1449;500;980;187
1450;500;1000;8
1451;500;1020;10
1452;500;1040;9
1453;500;1060;10
1454;500;1080;9
1455;500;1100;9
1456;520;0;3
1457;520;20;3
1458;520;40;4
1459;520;60;6
1460;520;80;6
1461;520;100;5
1462;520;120;6
1463;520;140;182
1464;520;160;183
1465;520;180;181
1466;520;200;183
1467;520;220;182
1468;520;240;181
1469;520;260;183
1470;520;280;183
1471;520;300;184
1472;520;320;183
1473;520;340;184
1474;520;360;214
1475;520;380;214
1476;520;400;217
1477;520;420;217
1478;520;440;218
1479;520;460;219
1480;520;480;220
1481;520;500;369
1482;520;520;369
1483;520;540;368
1484;520;560;368
1485;520;580;366
1486;520;600;368
1487;520;620;369
1488;520;640;368
1489;520;660;370
1490;520;680;369
1491;520;700;216
1492;520;720;217
1493;520;740;216
1494;520;760;218
1495;520;780;218
1496;520;800;187
1497;520;820;188
1498;520;840;188
1499;520;860;188
1500;520;880;187
1501;520;900;187
1502;520;920;187
1503;520;940;186
1504;520;960;186
1505;520;980;187
1506;520;1000;8
1507;520;1020;10
1508;520;1040;9
1509;520;1060;9
1510;520;1080;9
1511;520;1100;9
1512;540;0;2
1513;540;20;2
1514;540;40;3
1515;540;60;4
1516;540;80;3
1517;540;100;4
1518;540;120;5
1519;540;140;180
1520;540;160;182
1521;540;180;197
1522;540;200;181
1523;540;220;181
1524;540;240;179
1525;540;260;183
1526;540;280;183
1527;540;300;199
1528;540;320;181
1529;540;340;182
1530;540;360;214
1531;540;380;213
1532;540;400;216
1533;540;420;216
1534;540;440;216
1535;540;460;218
1536;540;480;219
1537;540;500;368
1538;540;520;368
1539;540;540;383
1540;540;560;368
1541;540;580;366
1542;540;600;368
1543;540;620;369
1544;540;640;384
1545;540;660;385
1546;540;680;367
1547;540;700;216
1548;540;720;216
1549;540;740;232
1550;540;760;216
1551;540;780;218
1552;540;800;186
1553;540;820;187
1554;540;840;187
1555;540;860;187
1556;540;880;186
1557;540;900;185
1558;540;920;187
1559;540;940;185
1560;540;960;187
1561;540;980;187
1562;540;1000;7
1563;540;1020;8
1564;540;1040;8
1565;540;1060;8
1566;540;1080;8
1567;540;1100;6
1568;560;0;2
1569;560;20;2
1570;560;40;20
1571;560;60;20
1572;560;80;22
1573;560;100;22
1574;560;120;23
1575;560;140;182
1576;560;160;200
1577;560;180;199
1578;560;200;201
1579;560;220;180
1580;560;240;181
1581;560;260;184
1582;560;280;200
1583;560;300;202
1584;560;320;200
1585;560;340;183
1586;560;360;215
1587;560;380;215
1588;560;400;234
1589;560;420;234
1590;560;440;234
1591;560;460;234
1592;560;480;236
1593;560;500;368
1594;560;520;384
1595;560;540;385
1596;560;560;385
1597;560;580;384
1598;560;600;368
1599;560;620;369
1600;560;640;385
1601;560;660;385
1602;560;680;371
1603;560;700;232
1604;560;720;234
1605;560;740;233
1606;560;760;235
1607;560;780;182
1608;560;800;186
1609;560;820;188
1610;560;840;206
1611;560;860;204
1612;560;880;185
1613;560;900;186
1614;560;920;188
1615;560;940;203
1616;560;960;203
1617;560;980;190
1618;560;1000;25
1619;560;1020;9
1620;560;1040;25
1621;560;1060;25
1622;560;1080;25
1623;560;1100;11
1624;580;0;2
1625;580;20;1
1626;580;40;7
1627;580;60;20
1628;580;80;20
1629;580;100;10
1630;580;120;22
1631;580;140;182
1632;580;160;198
1633;580;180;199
1634;580;200;200
1635;580;220;180
1636;580;240;180
1637;580;260;183
1638;580;280;198
1639;580;300;201
1640;580;320;200
